,id,n_outflows,n_inflows,fkt_outflows,fkt_inflows,vkt_outflows,vkt_inflows
0,0_3,40,5.60520142660715,609.8066991155329,73.47796077317867,15.245167477888325,13.108888544912679
1,1_2,31,15.96518444624769,388.9738751584137,196.02429306778822,12.547544359948832,12.278235414552944
2,1_3,75,38.72637590422715,799.2931274664571,393.04177793842837,10.657241699552763,10.14920112613807
3,1_4,124,47.42395875639185,1311.5553913075853,483.2304400517037,10.577059607319233,10.189584604987735
4,1_5,35,10.589597042172382,457.20168891218935,118.56999792591556,13.062905397491122,11.196837561780514
5,2_1,21,13.878332606269119,289.98069617561947,182.94925716749077,13.808604579791405,13.182365804149192
6,2_2,52,57.399340021233904,572.5506183947788,695.576317177669,11.010588815284207,12.118193639863323
7,2_3,105,200.63422138069348,958.9655847242516,2121.883745220301,9.133005568802396,10.575881475344787
8,2_4,180,236.2896214958439,1720.6913522938107,2431.734877681228,9.559396401632283,10.291331723699933
9,2_5,67,15.40461344278238,731.1745509378851,168.47986782067946,10.913052999072912,10.936974721661606
10,3_0,14,2.9711749396483826,251.82155059576607,44.1063963705173,17.98725361398328,14.844765880980734
11,3_1,12,8.729076724539903,177.44150523202208,104.251639225562,14.78679210266851,11.943031607510239
12,3_2,12,5.745019340534046,132.80564494642454,74.20095378751867,11.06713707886871,12.915701303909115
13,3_3,37,148.10585118572368,366.27828615740566,1758.16026648716,9.899413139389342,11.87097101438916
14,3_4,57,130.5366292341242,534.0432967320778,1412.449008487845,9.36918064442242,10.820326959374327
15,3_5,10,5.104209891465196,116.92640505058792,62.343487730014175,11.69264050505879,12.21413089502048
16,4_1,5,0.0,89.07542653302657,0.0,17.815085306605315,0.0
17,4_2,1,0.42749925049513665,14.638780748427497,6.133451155883567,14.638780748427493,14.347279319857762
18,4_3,29,9.394161622135204,328.475457122859,119.41231470441025,11.326739900788237,12.711332794513808
19,4_4,62,36.251984728943114,723.0048971691424,450.77874368407424,11.661369309179715,12.434594879550922
20,4_5,2,0.0,26.938890934995406,0.0,13.4694454674977,0.0
21,5_2,1,0.22574058210737605,19.577326429946375,3.742937988030146,19.577326429946375,16.580704953838453
22,5_3,6,0.36352194176565916,89.78540260975211,4.598871202814653,14.96423376829202,12.650876534377861
23,5_4,22,10.228684036049216,325.1439555140893,131.00380461483263,14.779270705185882,12.807493530265724
