Daily Demand (kWh),Probability (60 kWh),Std Dev (60 kWh),Probability (15 kWh),Std Dev (15 kWh)
1.0,0.05186238343626764,0.17542442184197826,0.20622733099013046,0.22638346586138608
1.0707070707070707,0.055404021488840674,0.17354042539848838,0.21986419522640493,0.2304764277685685
1.1414141414141414,0.05910033081031133,0.17635535704257485,0.23473993859942527,0.23299782781201628
1.2121212121212122,0.06276775441586442,0.17807237875294196,0.24965860671879986,0.23490878906159035
1.2828282828282829,0.06637668015171046,0.18058866282847932,0.2635632146914151,0.23835319222240509
1.3535353535353536,0.07025537678394526,0.1827167702831412,0.27758402032112284,0.2406654969340052
1.4242424242424243,0.07377543604007716,0.18414966492643772,0.29226774789947996,0.24225714542419519
1.4949494949494948,0.0772049115472513,0.1830387158505807,0.3057125495501111,0.2431787283932846
1.5656565656565657,0.081015038982858,0.18693538687328842,0.31998806823486997,0.24326192266435953
1.6363636363636362,0.08464228988428571,0.18690745996970598,0.33405052627993104,0.24529039464555688
1.7070707070707072,0.08852410386080015,0.1886928980460106,0.34680527973346553,0.24603845663130527
1.7777777777777777,0.09204373661676245,0.18913592911025198,0.36089985146253223,0.2462119214834815
1.8484848484848484,0.09571971783616011,0.19338282909048296,0.3758182569482931,0.24903230576118193
1.9191919191919191,0.09945864646280829,0.19265391704625034,0.38998068503606975,0.24816083146965723
1.9898989898989898,0.10285327311880332,0.1954058867917652,0.40234674909432766,0.2484605477322829
2.0606060606060606,0.10699817028875205,0.19918927007167403,0.41620411030877225,0.24927497399107817
2.1313131313131315,0.11018823425956603,0.1981672354837371,0.4296525306304557,0.24958593553653652
2.202020202020202,0.11379842735543733,0.19653892318042943,0.4423750378512464,0.24735126158537096
2.2727272727272725,0.11768840175549662,0.20183958513434785,0.4565093753505556,0.2491416912156214
2.3434343434343434,0.12086593671768599,0.19705768671034526,0.46921200545682185,0.24772619445059657
2.4141414141414144,0.12493199246600217,0.20462865734281213,0.4821410735628497,0.24765441955563555
2.484848484848485,0.1283048652326095,0.20425600012099054,0.4946440492851223,0.24568156393224164
2.5555555555555554,0.13244708598739405,0.20595217905509308,0.5089152944371935,0.24462106577939455
2.6262626262626263,0.13540379709562692,0.20421403980671132,0.5227969828688136,0.24454285866381292
2.696969696969697,0.13971811335856366,0.2071626969695405,0.5341894874112181,0.2426529613292085
2.7676767676767673,0.14326065819906816,0.2085239720960046,0.5479707333434113,0.24077117366351977
2.8383838383838382,0.1467273768829604,0.21011201563512372,0.5596833779739442,0.24019218538111767
2.909090909090909,0.14999301716711516,0.2088618348770772,0.5715708451058441,0.2384761301636713
2.9797979797979797,0.15401139236347963,0.21219825055610822,0.584895030435124,0.23621424766723878
3.0505050505050506,0.1574865574869084,0.21249912900553208,0.5928170070111226,0.2348115346817347
3.121212121212121,0.16081300468194792,0.21480199073066678,0.6087047025571619,0.23232271825455184
3.191919191919192,0.1645352639981422,0.21500243969059651,0.6180007050427008,0.22963735122311082
3.2626262626262625,0.16806882408345278,0.21827576334585055,0.630448686739909,0.22748079515909156
3.333333333333333,0.17151651067125187,0.21607551168302414,0.6432327537407874,0.22558187061625348
3.404040404040404,0.17524550314694723,0.218205335137873,0.6531961356837729,0.22343880892916074
3.4747474747474745,0.17855134288222024,0.21757540401451378,0.6640708462003942,0.2216385886791635
3.5454545454545454,0.18253340579854074,0.2186114258375477,0.6737578880137279,0.2178328363676912
3.616161616161616,0.1859287646718303,0.22015774147746478,0.6845445769819607,0.2156333482761103
3.686868686868687,0.18953473042912392,0.2207667753724509,0.695049854157606,0.2126948697733286
3.7575757575757573,0.19404500803204,0.22270599843104982,0.7051100971703899,0.2101356500034028
3.8282828282828283,0.19795056719752563,0.2265349004003131,0.7149932512270937,0.20737367255523884
3.898989898989899,0.2005688991240348,0.22320195182873648,0.7251598186890362,0.20445608206625748
3.9696969696969697,0.20418777703576174,0.22516331031303025,0.7371688013783639,0.20098770222703166
4.04040404040404,0.2081425010308777,0.22548020163016394,0.7432419185188237,0.19843867564143164
4.111111111111111,0.21151697592135016,0.22532045353359373,0.7536947665089262,0.1953627300359617
4.181818181818182,0.21583598517866726,0.22795366031353165,0.764492564363348,0.19165330277712628
4.252525252525253,0.21856986931653474,0.22850629497988403,0.7716782379892747,0.1888285845129821
4.3232323232323235,0.2222232515994196,0.22959930761855132,0.7795621671751458,0.18558699975245327
4.393939393939394,0.22600194251921518,0.22930169259043048,0.7892330171793702,0.18249490141728036
4.4646464646464645,0.22988630799366574,0.2330587596646763,0.7982747555245646,0.17896000692729683
4.535353535353535,0.23364948724613413,0.23105417801495187,0.8042896499468372,0.17617308925871863
4.6060606060606055,0.2356374749790183,0.22855074561775077,0.8140480634486896,0.17207751602538954
4.6767676767676765,0.2395623905230421,0.2324527282447761,0.8205510702637262,0.1690962425733933
4.747474747474747,0.24323318280912942,0.23279883411386185,0.8297626335313399,0.16499057218287433
4.818181818181818,0.2476759990632646,0.23288447044368768,0.8363209919090576,0.1618244773845627
4.888888888888889,0.25148322996776884,0.23639676111000058,0.8430073958019841,0.15937722885234948
4.959595959595959,0.25507880454885845,0.23518631544147184,0.8503735365319389,0.15486083303011502
5.03030303030303,0.2584934675015319,0.23446768077395805,0.8554162740239407,0.15293721668570887
5.101010101010101,0.2615974803819567,0.23584154043075978,0.8617469468630424,0.14934235608610225
5.171717171717171,0.2650271448478477,0.236370069026016,0.867814153212245,0.14571219411662092
5.242424242424242,0.2685416239618816,0.2383682096113109,0.874297907530747,0.14237305432468944
