Origin,Destination,Flow,Travel Time (min),Travel Distance (km),Centroid Distance (km)
0_0,0_1,0.0,16.092078779541797,8.046039389770899,4.936220484522024
0_0,0_2,6.588681223058257,32.18428027448609,16.092140137243046,9.872478611805551
0_0,0_3,3.1808869860213216,48.27660452877814,24.13830226438907,14.808774395330717
0_0,0_4,0.0,64.36905158606767,32.184525793033835,19.745107848487017
0_0,0_5,0.046335474021368846,80.46162148971601,40.230810744858005,24.681478984575463
0_0,1_0,0.0,12.517758779824113,6.258879389912057,3.8398033066945136
0_0,1_1,0.0,20.385101357722686,10.192550678861343,6.253098575988554
0_0,1_2,22.31538894210053,34.53010663681843,17.265053318409215,10.592057250557803
0_0,1_3,9.210854498183487,49.87017002812479,24.935085014062395,15.297598168136439
0_0,1_4,3.1069487610115543,65.57195283605562,32.78597641802781,20.11409596198025
0_0,1_5,0.22693386536603197,81.42654081336342,40.71327040668171,24.977466507166696
0_0,2_0,0.0,25.035516835549984,12.517758417774992,7.679606391273002
0_0,2_1,42.18936502740772,29.75473735136179,14.877368675680895,9.127220046429997
0_0,2_2,41.68371957235034,40.76554097223316,20.38277048611658,12.504767169396676
0_0,2_3,30.94643314415948,54.37135057875502,27.18567528937751,16.678328398391113
0_0,2_4,11.124722566373597,69.05504726201555,34.527523631007774,21.182529834974094
0_0,2_5,0.23200741659829358,84.25502098237294,42.12751049118647,25.845098460850597
0_0,3_0,10.935024456033034,37.5532734430794,18.7766367215397,11.519409031619448
0_0,3_1,9.19809808384606,40.84520783508478,20.42260391754239,12.52920485738797
0_0,3_2,2.1526649901600075,49.44017584077687,24.720087920388433,15.165698110667751
0_0,3_3,15.231646130922973,61.14131296689271,30.570656483446353,18.75500397757445
0_0,3_4,3.8181757976464423,74.49919700268194,37.24959850134097,22.852514418000595
0_0,3_5,0.0593223561014284,88.76910194163105,44.384550970815525,27.229785871665968
0_0,4_0,0.6786667059747347,50.07102787831168,25.03551393915584,15.35921100561708
0_0,4_1,0.0,52.57862684349618,26.28931342174809,16.128413142176743
0_0,4_2,0.09839812126209033,59.496496133524175,29.748248066762088,18.250458936663858
0_0,4_3,0.6495371339808842,69.52037715544954,34.76018857772477,21.325269066088815
0_0,4_4,1.0275626347447928,81.51241146141237,40.756205730706185,25.003807196752263
0_0,4_5,0.0,94.72811654194072,47.36405827097036,29.057704460718014
0_0,5_0,0.0,62.58877941714615,31.29438970857308,19.19901209114913
0_0,5_1,0.0,64.60562772648389,32.302813863241944,19.81767721671285
0_0,5_2,0.03774638773096798,70.34440469421654,35.17220234710827,21.578038249759675
0_0,5_3,0.01757633187390732,78.9981745058527,39.49908725292635,24.232568866825982
0_0,5_4,0.23165605782664184,89.72752032035663,44.863760160178316,27.5237792393732
0_0,5_5,0.011647335244080058,101.87883057181615,50.939415285908076,31.251175022029496
0_1,0_0,0.0,16.092078779541797,8.046039389770899,4.936220484522024
0_1,0_2,168.1003775534833,16.09220149494328,8.04610074747164,4.936258127283215
0_1,0_3,81.15558868348859,32.18452574923543,16.092262874617717,9.872553910808415
0_1,0_4,0.0,48.27697280652606,24.13848640326303,14.80888736396505
0_1,0_5,1.1821805325551575,64.36954271017399,32.184771355086994,19.74525850005337
0_1,1_0,0.0,20.385101357722686,10.192550678861343,6.253098575988554
0_1,1_1,0.0,12.510014373673041,6.2550071868365205,3.8374277219855957
0_1,1_2,479.58566122386895,20.38044275699303,10.190221378496515,6.2516695573598255
0_1,1_3,219.94937082748157,34.527527724743706,17.263763862371853,10.591266173234267
0_1,1_4,76.5938597670129,49.86858217533158,24.93429108766579,15.29711109672748
0_1,1_5,5.670193904154208,65.57095593279577,32.785477966397885,20.113790163434285
0_1,2_0,0.0,29.75473735136179,14.877368675680895,9.127220046429997
0_1,2_1,394.74762628379585,25.020028022291637,12.510014011145818,7.674855221561852
0_1,2_2,679.7090734189724,29.74177036977892,14.87088518488946,9.12324244471746
0_1,2_3,634.4074866176317,40.756221043118025,20.378110521559012,12.501908295434978
0_1,2_4,250.7822615146751,54.36454365030323,27.182271825151616,16.6762403835286
0_1,2_5,5.473309723841909,69.04988722134411,34.524943610672054,21.180947000412303
0_1,3_0,50.355263269047256,40.84520783508478,20.42260391754239,12.52920485738797
0_1,3_1,75.92115977171684,37.53004022080134,18.76502011040067,11.51228227631943
0_1,3_2,28.37821135446837,40.82389267748851,20.411946338744254,12.522666465487273
0_1,3_3,264.09323295066537,49.422684443277305,24.711342221638652,15.160332651312057
0_1,3_4,76.60946513956,61.12732898456039,30.5636644922802,18.75071441244184
0_1,3_5,1.2898095134567262,74.48790445259905,37.24395222629953,22.849050445582535
0_1,4_0,3.3494054669470117,52.57862684349618,26.28931342174809,16.128413142176743
0_1,4_1,0.0,50.04005024414522,25.02002512207261,15.349708663848228
0_1,4_2,1.1193780550447179,52.54915975866958,26.27457987933479,16.1193741591011
0_1,4_3,9.718546865913476,59.47055187939457,29.735275939697285,18.242500576501403
0_1,4_4,18.28742526327804,69.49831317393682,34.74915658696841,21.31850097360025
0_1,4_5,0.0,81.49376070385341,40.746880351926706,24.99808610547651
0_1,5_0,0.0,64.60562772648389,32.302813863241944,19.81767721671285
0_1,5_1,0.0,62.55005736726647,31.275028683633234,19.187134161738182
0_1,5_2,0.3872082970316029,64.56813908318206,32.28406954159103,19.806177632877933
0_1,5_3,0.23318058981155199,70.31005411281414,35.15502705640707,21.567501261599432
0_1,5_4,3.6904147116456345,78.9677080063514,39.4838540031757,24.22322331483172
0_1,5_5,0.21030870045211034,89.7008475027248,44.8504237513624,27.515597393473865
0_2,0_0,0.0,32.18428027448609,16.092140137243046,9.872478611805551
0_2,0_1,0.0,16.09220149494328,8.04610074747164,4.936258127283215
0_2,0_3,712.3223472379334,16.09232425429209,8.046162127146046,4.936295783525182
0_2,0_4,0.0,32.184771311582395,16.092385655791198,9.872629236681716
0_2,0_5,10.376286161794459,48.27734121522949,24.138670607614745,14.809000372769784
0_2,1_0,0.0,34.53010663681843,17.265053318409215,10.592057250557803
0_2,1_1,0.0,20.38044275699303,10.190221378496515,6.2516695573598255
0_2,1_2,2037.7239569185283,12.502262404261716,6.251131202130858,3.835049817258195
0_2,1_3,1626.4756600727799,20.3757814350953,10.18789071754765,6.2502397040169635
0_2,1_4,629.2714847414896,34.524947708519356,17.262473854259678,10.590474757214526
0_2,1_5,48.090988406404584,49.86699371499052,24.93349685749526,15.29662383895415
0_2,2_0,0.0,40.76554097223316,20.38277048611658,12.504767169396676
0_2,2_1,551.1658944561682,29.74177036977892,14.87088518488946,9.12324244471746
0_2,2_2,2188.3669973090523,25.004524082514447,12.502262041257223,7.670099411814248
0_2,2_3,3559.9871309703412,29.72879311925095,14.864396559625474,9.119261693021764
0_2,2_4,1769.026564674281,40.74689568096419,20.373447840482093,12.49904775489699
0_2,2_5,42.45258928007214,54.35773346914919,27.178866734574594,16.67415137090466
0_2,3_0,49.938543507572824,49.44017584077687,24.720087920388433,15.165698110667751
0_2,3_1,120.2534675713604,40.82389267748851,20.411946338744254,12.522666465487273
0_2,3_2,80.59488832366638,37.50678430874924,18.75339215437462,11.505148560966026
0_2,3_3,1198.1093943993194,40.802558800351434,20.401279400175717,12.516122331396147
0_2,3_4,457.0998869254722,49.40518065405645,24.702590327028226,15.154963390814864
0_2,3_5,8.905101509121215,61.113336866639,30.556668433319498,18.746422351729755
0_2,4_0,3.8520331141469515,59.496496133524175,29.748248066762088,18.250458936663858
0_2,4_1,0.0,52.54915975866958,26.27457987933479,16.1193741591011
0_2,4_2,2.968212041880674,50.00904235695468,25.00452117847734,15.340197042010638
0_2,4_3,38.04615033868922,52.51966565467893,26.259832827339466,16.110326887938324
0_2,4_4,94.16354039470309,59.4445871050543,29.72229355252715,18.2345359217958
0_2,4_5,0.0,69.47623439467685,34.738117197338426,21.311728341925416
0_2,5_0,0.0,70.34440469421654,35.17220234710827,21.578038249759675
0_2,5_1,0.0,64.56813908318206,32.28406954159103,19.806177632877933
0_2,5_2,0.9838411159519432,62.51129750111934,31.25564875055967,19.175244632245196
0_2,5_3,0.8231265504759365,64.53061531985543,32.265307659927714,19.794667276029273
0_2,5_4,16.84894300946115,70.27567456240034,35.13783728120017,21.55695538723937
0_2,5_5,1.1529709693318215,78.93721898798168,39.46860949399084,24.213870855209105
0_3,0_0,0.0,48.27660452877814,24.13830226438907,14.808774395330717
0_3,0_1,0.0,32.18452574923543,16.092262874617717,9.872553910808415
0_3,0_2,345.8565766172768,16.09232425429209,8.046162127146046,4.936295783525182
0_3,0_4,0.0,16.092447057288837,8.046223528644418,4.936333453156085
0_3,0_5,41.74184655194903,32.185016960937354,16.092508480468677,9.872704589244588
0_3,1_0,0.0,49.87017002812479,24.935085014062395,15.297598168136439
0_3,1_1,0.0,34.527527724743706,17.263763862371853,10.591266173234267
0_3,1_2,987.1361363386353,20.3757814350953,10.18789071754765,6.2502397040169635
0_3,1_3,3168.198936822469,12.494502876123654,6.247251438061827,3.8326695939029616
0_3,1_4,2133.092593887575,20.37111740132632,10.18555870066316,6.248809018811754
0_3,1_5,181.0976221129038,34.52236659408367,17.261183297041836,10.589683004320145
0_3,2_0,0.0,54.37135057875502,27.18567528937751,16.678328398391113
0_3,2_1,202.3168506696552,40.756221043118025,20.378110521559012,12.501908295434978
0_3,2_2,1400.0802066950096,29.72879311925095,14.864396559625474,9.119261693021764
0_3,2_3,5254.239784165691,24.989005025285504,12.494502512642752,7.665338964811505
0_3,2_4,4551.157119415046,29.715805617464085,14.857902808732042,9.115277796768124
0_3,2_5,137.27937134206437,40.73756490441156,20.36878245220578,12.49618555350048
0_3,3_0,17.252228774176473,61.14131296689271,30.570656483446353,18.75500397757445
0_3,3_1,54.63976283987799,49.422684443277305,24.711342221638652,15.160332651312057
0_3,3_2,58.49724549551479,40.802558800351434,20.401279400175717,12.516122331396147
0_3,3_3,1559.769485797864,37.48350572052377,18.741752860261887,11.49800788973122
0_3,3_4,950.7466842030209,40.781206225499645,20.390603112749822,12.509572461809707
0_3,3_5,24.359569346428422,49.387664501965865,24.693832250982933,15.14959033802634
