,Day,PV Production (MWh),EV Demand (MWh),Spearman Coefficient,P-Value,Energy Coverage Ratio,Self Sufficiency Ratio,Self Consumption Ratio,Excess PV Ratio
0,1901-01-01,1366.2166269192205,1755.6292754690314,0.7573385450521543,7.686208462429337e-20,0.7781919827887491,0.5331903012767103,0.685165502946915,0.31483449705308497
1,1901-01-02,1180.3503975936458,1755.6292754690314,0.7526265024259053,1.7396433595025788e-19,0.6723232598626524,0.48257071584388256,0.7177659091289895,0.2822340908710105
2,1901-01-03,1232.4244875030788,1755.6292754690314,0.7439620087443057,7.455235089910175e-19,0.7019844705960636,0.4692425745060706,0.6684515030761734,0.3315484969238266
3,1901-01-04,1346.071133900993,1755.6292754690314,0.7242349937861029,1.6639150800123904e-17,0.7667171838094227,0.5048212028384635,0.6584190539858088,0.34158094601419114
4,1901-01-05,1385.7039783883945,1755.6292754690314,0.732879775810783,4.4137153804523045e-18,0.7892919067541704,0.5351491401571952,0.6780116907037671,0.32198830929623284
5,1901-01-06,1308.8382811750469,1755.6292754690314,0.736454304448554,2.511461571390581e-18,0.7455094873747645,0.5160208722859706,0.6921721064920118,0.3078278935079883
6,1901-01-07,1342.240142225768,1755.6292754690314,0.7127381942312864,9.008503076199118e-17,0.7645350649938194,0.48631490010400946,0.636092342092826,0.3639076579071741
7,1901-01-08,1407.230619419781,1755.6292754690314,0.7267320935791556,1.1400183623407101e-17,0.8015534025791563,0.5353573352154298,0.6678997724827964,0.3321002275172036
8,1901-01-09,1421.583698491439,1755.6292754690314,0.7261997169735301,1.2361590809268893e-17,0.8097288638067685,0.5352529597109964,0.6610273927924689,0.33897260720753103
9,1901-01-10,1405.3656691668152,1755.6292754690314,0.7228913766385721,2.035880098020046e-17,0.8004911337510932,0.530468090127945,0.6626782830712653,0.3373217169287347
10,1901-01-11,1199.3719154822113,1755.6292754690314,0.6862841471850879,3.264812203597294e-15,0.6831578467280849,0.42120537458507584,0.6165564468041994,0.38344355319580065
11,1901-01-12,1108.4580541006355,1755.6292754690314,0.6668143741793569,3.631177038282818e-14,0.6313736445323865,0.3685699276103363,0.5837588103369595,0.4162411896630405
12,1901-01-13,957.5197361876127,1755.6292754690314,0.6333253505588218,1.5404750349205357e-12,0.5453997319176641,0.2997705250237238,0.5496345294665059,0.45036547053349407
13,1901-01-14,916.949816686029,1755.6292754690314,0.6622891730315404,6.195889320396601e-14,0.5222912544797124,0.3263959923739011,0.6249309931468122,0.3750690068531878
14,1901-01-15,1462.9246381382577,1755.6292754690314,0.7203055474112482,2.991885339227779e-17,0.8332765114932507,0.5430330773142862,0.6516841286467542,0.34831587135324577
15,1901-01-16,1439.954510356169,1755.6292754690314,0.7265799859775482,1.1667201354626276e-17,0.820192810906205,0.5404129559494685,0.6588852630302664,0.34111473696973366
16,1901-01-17,1438.754754770631,1755.6292754690314,0.7222575949652085,2.2382309627401793e-17,0.8195094345224195,0.535152045893034,0.653015112882625,0.346984887117375
17,1901-01-18,1441.4598890354964,1755.6292754690314,0.7184422292915593,3.9379103372452606e-17,0.8210502690839432,0.5325758509722213,0.6486519413317084,0.3513480586682916
18,1901-01-19,1443.4133188429867,1755.6292754690314,0.7179859064867373,4.210573970949854e-17,0.8221629355419392,0.5314800639952879,0.6464412843482855,0.35355871565171443
19,1901-01-20,1451.2447267647174,1755.6292754690314,0.7171112877774956,4.785308719230613e-17,0.8266236767879169,0.5299265424823669,0.6410735106712021,0.35892648932879795
20,1901-01-21,1455.3709875667207,1755.6292754690314,0.7179859064867373,4.210573970949854e-17,0.8289739798158161,0.532649286270683,0.6425404165146759,0.3574595834853241
21,1901-01-22,1456.424923414279,1755.6292754690314,0.7167817213073465,5.021052475260476e-17,0.8295742978113546,0.5310433938617013,0.6401396418171826,0.3598603581828174
22,1901-01-23,1304.8265366685507,1755.6292754690314,0.7087833965894973,1.5803650174945746e-16,0.7432244124090236,0.47462830786196064,0.638606993981187,0.3613930060188129
23,1901-01-24,1155.6299172833503,1755.6292754690314,0.6682974232950277,3.0416984115486225e-14,0.6582425648915052,0.38014389093357964,0.5775133836813436,0.42248661631865636
24,1901-01-25,1103.7260303586104,1755.6292754690314,0.6479023290461857,3.191784241083681e-13,0.6286783011542916,0.3444622163293677,0.5479149124391826,0.4520850875608174
25,1901-01-26,945.5106353702884,1755.6292754690314,0.6428067243923419,5.586881298026565e-13,0.5385593921118039,0.30320047702834335,0.5629842900695333,0.4370157099304667
26,1901-01-27,873.0273153669557,1755.6292754690314,0.640905379372251,6.866403829230152e-13,0.497273158727499,0.3029641302826561,0.6092509216824181,0.3907490783175819
27,1901-01-28,1213.0350088156692,1755.6292754690314,0.6807829222602915,6.57063259936948e-15,0.6909402946083799,0.4089465802122683,0.5918696353410048,0.40813036465899516
28,1901-01-29,1181.9705907332839,1755.6292754690314,0.6855109335435843,3.605398547554447e-15,0.6732461159361279,0.43581059434547736,0.6473273057646922,0.3526726942353077
29,1901-01-30,1197.7907493707028,1755.6292754690314,0.6818476754715425,5.745567871148165e-15,0.6822572203067773,0.40633944380765624,0.5955810092049235,0.4044189907950765
