Time,Charging profile at origin (MW),Number of cars charging at origin,Charging profile at destination (MW),Number of cars charging at destination,Total (MW)
0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.018,2.0,0.018
0.5,0.0,0.0,0.018,2.0,0.018
0.6000000000000001,0.0,0.0,0.032,4.0,0.032
0.7000000000000001,0.0,0.0,0.05,6.0,0.05
0.8,0.0,0.0,0.032,4.0,0.032
0.9,0.0,0.0,0.039,5.0,0.039
1.0,0.0,0.0,0.046,6.0,0.046
1.1,0.0,0.0,0.06,8.0,0.06
1.2000000000000002,0.0,0.0,0.067,9.0,0.067
1.3,0.0,0.0,0.089,11.0,0.089
1.4000000000000001,0.0,0.0,0.157,19.0,0.157
1.5,0.0,0.0,0.204,24.0,0.204
1.6,0.0,0.0,0.305,33.0,0.305
1.7000000000000002,0.0,0.0,0.296,35.0,0.296
1.8,0.0,0.0,0.299,37.0,0.299
1.9000000000000001,0.0,0.0,0.366,46.0,0.366
2.0,0.0,0.0,0.449,54.0,0.449
2.1,0.0,0.0,0.561,66.0,0.561
2.2,0.0,0.0,0.692,83.0,0.692
2.3000000000000003,0.0,0.0,0.794,97.0,0.794
2.4000000000000004,0.0,0.0,0.922,112.0,0.922
2.5,0.0,0.0,1.103,134.0,1.103
2.6,0.0,0.0,1.384,169.0,1.384
2.7,0.0,0.0,1.557,193.0,1.557
2.8000000000000003,0.0,0.0,1.729,217.0,1.729
2.9000000000000004,0.0,0.0,2.131,267.0,2.131
3.0,0.0,0.0,2.538,315.0,2.538
3.1,0.0,0.0,3.038,374.0,3.038
3.2,0.0,0.0,3.538,431.0,3.538
3.3000000000000003,0.0,0.0,4.111,503.0,4.111
3.4000000000000004,0.0,0.0,4.515,557.0,4.515
3.5,0.0,0.0,5.15,636.0,5.15
3.6,0.0,0.0,5.624,696.0,5.624
3.7,0.0,0.0,6.684,823.0,6.684
3.8000000000000003,0.0,0.0,7.914,967.0,7.914
3.9000000000000004,0.0,0.0,9.093,1130.0,9.093
4.0,0.0,0.0,10.622,1309.0,10.622
4.1000000000000005,0.0,0.0,12.234,1512.0,12.234
4.2,0.0,0.0,14.249,1768.0,14.249
4.3,0.0,0.0,15.938,1970.0,15.938
4.4,0.0,0.0,18.475,2289.0,18.475
4.5,0.0,0.0,20.807,2573.0,20.807
4.6000000000000005,0.0,0.0,22.581,2812.0,22.581
4.7,0.0,0.0,25.041,3101.0,25.041
4.800000000000001,0.0,0.0,28.154,3473.0,28.154
4.9,0.0,0.0,31.739,3909.0,31.739
5.0,0.0,0.0,35.802,4391.0,35.802
5.1000000000000005,0.0,0.0,39.225,4818.0,39.225
5.2,0.0,0.0,43.997,5409.0,43.997
5.300000000000001,0.0,0.0,48.141,5931.0,48.141
5.4,0.0,0.0,52.833,6520.0,52.833
5.5,0.0,0.0,57.473,7123.0,57.473
5.6000000000000005,0.0,0.0,64.007,7920.0,64.007
5.7,0.0,0.0,69.479,8628.0,69.479
5.800000000000001,0.0,0.0,76.353,9498.0,76.353
5.9,0.0,0.0,82.907,10323.0,82.907
6.0,0.0,0.0,90.499,11252.0,90.499
6.1000000000000005,0.0,0.0,98.202,12194.0,98.202
6.2,0.0,0.0,107.269,13263.0,107.269
6.300000000000001,0.0,0.0,115.654,14324.0,115.654
6.4,0.0,0.0,123.894,15356.0,123.894
6.5,0.0,0.0,132.825,16462.0,132.825
6.6000000000000005,0.0,0.0,141.395,17522.0,141.395
6.7,0.0,0.0,150.52,18647.0,150.52
6.800000000000001,0.0,0.0,160.936,19979.0,160.936
6.9,0.0,0.0,170.274,21176.0,170.274
7.0,0.0,0.0,181.175,22563.0,181.175
7.1000000000000005,0.0,0.0,191.345,23832.0,191.345
7.2,0.0,0.0,203.102,25288.0,203.102
7.300000000000001,0.0,0.0,213.408,26601.0,213.408
7.4,0.0,0.0,224.87,27991.0,224.87
7.5,0.0,0.0,235.959,29407.0,235.959
7.6000000000000005,0.0,0.0,245.003,30564.0,245.003
7.7,0.0,0.0,254.874,31786.0,254.874
7.800000000000001,0.0,0.0,264.584,32942.0,264.584
7.9,0.0,0.0,273.767,34072.0,273.767
8.0,0.0,0.0,283.342,35254.0,283.342
8.1,0.0,0.0,290.676,36231.0,290.676
8.200000000000001,0.0,0.0,300.366,37447.0,300.366
8.3,0.0,0.0,308.513,38517.0,308.513
8.4,0.0,0.0,315.329,39422.0,315.329
8.5,0.0,0.0,324.408,40510.0,324.408
8.6,0.0,0.0,328.967,41089.0,328.967
8.700000000000001,0.0,0.0,331.946,41491.0,331.946
8.8,0.0,0.0,335.261,41918.0,335.261
8.9,0.0,0.0,340.53,42639.0,340.53
9.0,0.0,0.0,343.756,43023.0,343.756
9.1,0.0,0.0,345.406,43202.0,345.406
9.200000000000001,0.0,0.0,346.277,43408.0,346.277
9.3,0.0,0.0,346.182,43408.0,346.182
9.4,0.0,0.0,345.638,43344.0,345.638
9.5,0.0,0.0,343.813,43139.0,343.813
9.600000000000001,0.0,0.0,343.391,43030.0,343.391
9.700000000000001,0.0,0.0,341.545,42783.0,341.545
9.8,0.0,0.0,336.426,42210.0,336.426
9.9,0.0,0.0,332.106,41640.0,332.106
10.0,0.0,0.0,327.142,41016.0,327.142
10.100000000000001,0.0,0.0,321.804,40373.0,321.804
10.200000000000001,0.0,0.0,315.915,39653.0,315.915
10.3,0.0,0.0,308.444,38747.0,308.444
10.4,0.0,0.0,302.378,37904.0,302.378
10.5,0.0,0.0,293.298,36809.0,293.298
10.600000000000001,0.0,0.0,284.328,35686.0,284.328
10.700000000000001,0.0,0.0,274.111,34466.0,274.111
10.8,0.0,0.0,262.606,33065.0,262.606
10.9,0.0,0.0,253.409,31910.0,253.409
11.0,0.0,0.0,243.178,30644.0,243.178
11.100000000000001,0.0,0.0,233.408,29406.0,233.408
11.200000000000001,0.0,0.0,223.123,28171.0,223.123
11.3,0.0,0.0,211.91,26761.0,211.91
11.4,0.0,0.0,200.764,25374.0,200.764
11.5,0.0,0.0,191.808,24232.0,191.808
11.600000000000001,0.0,0.0,182.935,23095.0,182.935
11.700000000000001,0.0,0.0,172.059,21726.0,172.059
11.8,0.0,0.0,160.906,20324.0,160.906
11.9,0.0,0.0,150.476,19050.0,150.476
12.0,0.0,0.0,141.352,17863.0,141.352
12.100000000000001,0.0,0.0,132.814,16828.0,132.814
12.200000000000001,0.0,0.0,123.941,15714.0,123.941
12.3,0.0,0.0,114.458,14531.0,114.458
12.4,0.0,0.0,106.402,13496.0,106.402
12.5,0.0,0.0,97.608,12376.0,97.608
12.600000000000001,0.0,0.0,89.688,11342.0,89.688
12.700000000000001,0.0,0.0,81.569,10320.0,81.569
12.8,0.0,0.0,74.98,9511.0,74.98
12.9,0.0,0.0,69.252,8803.0,69.252
13.0,0.0,0.0,64.019,8140.0,64.019
13.100000000000001,0.0,0.0,59.053,7497.0,59.053
13.200000000000001,0.0,0.0,53.734,6822.0,53.734
13.3,0.0,0.0,49.003,6226.0,49.003
13.4,0.0,0.0,44.097,5608.0,44.097
13.5,0.0,0.0,39.458,5034.0,39.458
13.600000000000001,0.0,0.0,35.505,4529.0,35.505
13.700000000000001,0.0,0.0,31.565,4033.0,31.565
13.8,0.0,0.0,28.618,3661.0,28.618
13.9,0.0,0.0,26.051,3308.0,26.051
14.0,0.0,0.0,23.326,2953.0,23.326
14.100000000000001,0.0,0.0,20.958,2658.0,20.958
14.200000000000001,0.0,0.0,18.406,2342.0,18.406
14.3,0.0,0.0,16.614,2107.0,16.614
14.4,0.0,0.0,14.774,1870.0,14.774
14.5,0.0,0.0,12.717,1616.0,12.717
14.600000000000001,0.0,0.0,10.955,1398.0,10.955
14.700000000000001,0.0,0.0,9.449,1205.0,9.449
14.8,0.0,0.0,8.286,1055.0,8.286
14.9,0.0,0.0,7.296,930.0,7.296
15.0,0.0,0.0,6.501,833.0,6.501
15.100000000000001,0.0,0.0,5.915,755.0,5.915
15.200000000000001,0.0,0.0,5.305,675.0,5.305
15.3,0.0,0.0,4.642,588.0,4.642
15.4,0.0,0.0,3.898,492.0,3.898
15.5,0.0,0.0,3.185,412.0,3.185
15.600000000000001,0.0,0.0,2.792,361.0,2.792
15.700000000000001,0.0,0.0,2.287,298.0,2.287
15.8,0.0,0.0,1.933,250.0,1.933
15.9,0.0,0.0,1.671,216.0,1.671
16.0,0.0,0.0,1.31,170.0,1.31
16.1,0.0,0.0,1.17,154.0,1.17
16.2,0.0,0.0,1.011,133.0,1.011
16.3,0.0,0.0,0.858,114.0,0.858
16.400000000000002,0.0,0.0,0.755,97.0,0.755
16.5,0.0,0.0,0.685,87.0,0.685
16.6,0.0,0.0,0.609,79.0,0.609
16.7,0.0,0.0,0.481,63.0,0.481
16.8,0.0,0.0,0.387,49.0,0.387
16.900000000000002,0.0,0.0,0.313,39.0,0.313
17.0,0.0,0.0,0.306,37.0,0.306
17.1,0.0,0.0,0.285,34.0,0.285
17.2,0.0,0.0,0.278,33.0,0.278
17.3,0.0,0.0,0.227,29.0,0.227
17.400000000000002,0.0,0.0,0.195,25.0,0.195
17.5,0.0,0.0,0.123,17.0,0.123
17.6,0.0,0.0,0.095,13.0,0.095
17.7,0.0,0.0,0.063,9.0,0.063
