id,bbox,is_within_target_area,n_vehicles_origin,n_vehicles_destination,E0_origin_kWh,E0_destination_kWh,Etot_origin_kWh,Etot_destination_kWh
0_0,"POLYGON ((38.68386666666667 8.833500000000003, 38.68386666666667 8.877616666666668, 38.6394 8.877616666666668, 38.6394 8.833500000000003, 38.68386666666667 8.833500000000003))",False,0,0,0,0.0,0.0,0.0
0_1,"POLYGON ((38.68386666666667 8.877616666666668, 38.68386666666667 8.921733333333334, 38.6394 8.921733333333334, 38.6394 8.877616666666668, 38.68386666666667 8.877616666666668))",False,0,0,0,0.0,0.0,0.0
0_2,"POLYGON ((38.68386666666667 8.921733333333336, 38.68386666666667 8.965850000000001, 38.6394 8.965850000000001, 38.6394 8.921733333333336, 38.68386666666667 8.921733333333336))",False,0,1254,0,3.9560917951444265,0.0,4960.939111111111
0_3,"POLYGON ((38.68386666666667 8.965850000000001, 38.68386666666667 9.009966666666667, 38.6394 9.009966666666667, 38.6394 8.965850000000001, 38.68386666666667 8.965850000000001))",True,0,3220,0,3.7440122843340236,0.0,12055.719555555555
0_4,"POLYGON ((38.68386666666667 9.009966666666667, 38.68386666666667 9.054083333333333, 38.6394 9.054083333333333, 38.6394 9.009966666666667, 38.68386666666667 9.009966666666667))",False,0,0,0,0.0,0.0,0.0
0_5,"POLYGON ((38.68386666666667 9.054083333333335, 38.68386666666667 9.0982, 38.6394 9.0982, 38.6394 9.054083333333335, 38.68386666666667 9.054083333333335))",False,0,578,0,3.965487889273356,0.0,2292.0519999999997
1_0,"POLYGON ((38.72833333333333 8.833500000000003, 38.72833333333333 8.877616666666668, 38.68386666666667 8.877616666666668, 38.68386666666667 8.833500000000003, 38.72833333333333 8.833500000000003))",False,0,0,0,0.0,0.0,0.0
1_1,"POLYGON ((38.72833333333333 8.877616666666668, 38.72833333333333 8.921733333333334, 38.68386666666667 8.921733333333334, 38.68386666666667 8.877616666666668, 38.72833333333333 8.877616666666668))",False,0,0,0,0.0,0.0,0.0
1_2,"POLYGON ((38.72833333333333 8.921733333333336, 38.72833333333333 8.965850000000001, 38.68386666666667 8.965850000000001, 38.68386666666667 8.921733333333336, 38.72833333333333 8.921733333333336))",True,0,7954,0,3.491909758891403,0.0,27774.650222222223
1_3,"POLYGON ((38.72833333333333 8.965850000000001, 38.72833333333333 9.009966666666667, 38.68386666666667 9.009966666666667, 38.68386666666667 8.965850000000001, 38.72833333333333 8.965850000000001))",True,0,16179,0,3.232460047661234,0.0,52297.97111111111
1_4,"POLYGON ((38.72833333333333 9.009966666666667, 38.72833333333333 9.054083333333333, 38.68386666666667 9.054083333333333, 38.68386666666667 9.009966666666667, 38.72833333333333 9.009966666666667))",True,0,20346,0,3.1176051858405147,0.0,63430.79511111111
1_5,"POLYGON ((38.72833333333333 9.054083333333335, 38.72833333333333 9.0982, 38.68386666666667 9.0982, 38.68386666666667 9.054083333333335, 38.72833333333333 9.054083333333335))",False,0,4478,0,3.361778770284353,0.0,15054.045333333332
2_0,"POLYGON ((38.7728 8.833500000000003, 38.7728 8.877616666666668, 38.72833333333333 8.877616666666668, 38.72833333333333 8.833500000000003, 38.7728 8.833500000000003))",False,0,0,0,0.0,0.0,0.0
2_1,"POLYGON ((38.7728 8.877616666666668, 38.7728 8.921733333333334, 38.72833333333333 8.921733333333334, 38.72833333333333 8.877616666666668, 38.7728 8.877616666666668))",True,0,6525,0,3.99387490847169,0.0,26060.033777777775
2_2,"POLYGON ((38.7728 8.921733333333336, 38.7728 8.965850000000001, 38.72833333333333 8.965850000000001, 38.72833333333333 8.921733333333336, 38.7728 8.921733333333336))",True,0,23736,0,3.841552166423248,0.0,91183.08222222222
2_3,"POLYGON ((38.7728 8.965850000000001, 38.7728 9.009966666666667, 38.72833333333333 9.009966666666667, 38.72833333333333 8.965850000000001, 38.7728 8.965850000000001))",True,0,78448,0,3.406658162802819,0.0,267245.51955555554
2_4,"POLYGON ((38.7728 9.009966666666667, 38.7728 9.054083333333333, 38.72833333333333 9.054083333333333, 38.72833333333333 9.009966666666667, 38.7728 9.009966666666667))",True,0,96204,0,3.1961397585685973,0.0,307481.42933333333
2_5,"POLYGON ((38.7728 9.054083333333335, 38.7728 9.0982, 38.72833333333333 9.0982, 38.72833333333333 9.054083333333335, 38.7728 9.054083333333335))",True,0,5899,0,3.472103671055357,0.0,20481.939555555553
3_0,"POLYGON ((38.81726666666667 8.833500000000003, 38.81726666666667 8.877616666666668, 38.7728 8.877616666666668, 38.7728 8.833500000000003, 38.81726666666667 8.833500000000003))",True,0,1870,0,3.858078431372549,0.0,7214.606666666667
3_1,"POLYGON ((38.81726666666667 8.877616666666668, 38.81726666666667 8.921733333333334, 38.7728 8.921733333333334, 38.7728 8.877616666666668, 38.81726666666667 8.877616666666668))",True,0,4021,0,3.6546217911520076,0.0,14695.234222222223
3_2,"POLYGON ((38.81726666666667 8.921733333333336, 38.81726666666667 8.965850000000001, 38.7728 8.965850000000001, 38.7728 8.921733333333336, 38.81726666666667 8.921733333333336))",True,0,2418,0,4.014858009374138,0.0,9707.926666666666
3_3,"POLYGON ((38.81726666666667 8.965850000000001, 38.81726666666667 9.009966666666667, 38.7728 9.009966666666667, 38.7728 8.965850000000001, 38.81726666666667 8.965850000000001))",True,0,61324,0,3.658911798172185,0.0,224379.10711111108
3_4,"POLYGON ((38.81726666666667 9.009966666666667, 38.81726666666667 9.054083333333333, 38.7728 9.054083333333333, 38.7728 9.009966666666667, 38.81726666666667 9.009966666666667))",True,0,56249,0,3.206833685932194,0.0,180381.188
3_5,"POLYGON ((38.81726666666667 9.054083333333335, 38.81726666666667 9.0982, 38.7728 9.0982, 38.7728 9.054083333333335, 38.81726666666667 9.054083333333335))",True,0,2163,0,3.6723271176863412,0.0,7943.243555555556
4_0,"POLYGON ((38.86173333333333 8.833500000000003, 38.86173333333333 8.877616666666668, 38.81726666666667 8.877616666666668, 38.81726666666667 8.833500000000003, 38.86173333333333 8.833500000000003))",False,0,414,0,3.3055287171229204,0.0,1368.488888888889
4_1,"POLYGON ((38.86173333333333 8.877616666666668, 38.86173333333333 8.921733333333334, 38.81726666666667 8.921733333333334, 38.81726666666667 8.877616666666668, 38.86173333333333 8.877616666666668))",True,0,0,0,0.0,0.0,0.0
4_2,"POLYGON ((38.86173333333333 8.921733333333336, 38.86173333333333 8.965850000000001, 38.81726666666667 8.965850000000001, 38.81726666666667 8.921733333333336, 38.86173333333333 8.921733333333336))",True,0,182,0,4.632542124542124,0.0,843.1226666666666
4_3,"POLYGON ((38.86173333333333 8.965850000000001, 38.86173333333333 9.009966666666667, 38.81726666666667 9.009966666666667, 38.81726666666667 8.965850000000001, 38.86173333333333 8.965850000000001))",True,0,3654,0,4.162082831600073,0.0,15208.250666666667
4_4,"POLYGON ((38.86173333333333 9.009966666666667, 38.86173333333333 9.054083333333333, 38.81726666666667 9.054083333333333, 38.81726666666667 9.009966666666667, 38.86173333333333 9.009966666666667))",True,0,17138,0,3.811061345158906,0.0,65313.96933333333
4_5,"POLYGON ((38.86173333333333 9.054083333333335, 38.86173333333333 9.0982, 38.81726666666667 9.0982, 38.81726666666667 9.054083333333335, 38.86173333333333 9.054083333333335))",True,0,0,0,0.0,0.0,0.0
5_0,"POLYGON ((38.9062 8.833500000000003, 38.9062 8.877616666666668, 38.86173333333333 8.877616666666668, 38.86173333333333 8.833500000000003, 38.9062 8.833500000000003))",False,0,0,0,0.0,0.0,0.0
5_1,"POLYGON ((38.9062 8.877616666666668, 38.9062 8.921733333333334, 38.86173333333333 8.921733333333334, 38.86173333333333 8.877616666666668, 38.9062 8.877616666666668))",True,0,0,0,0.0,0.0,0.0
5_2,"POLYGON ((38.9062 8.921733333333336, 38.9062 8.965850000000001, 38.86173333333333 8.965850000000001, 38.86173333333333 8.921733333333336, 38.9062 8.921733333333336))",True,0,101,0,5.515595159515951,0.0,557.075111111111
5_3,"POLYGON ((38.9062 8.965850000000001, 38.9062 9.009966666666667, 38.86173333333333 9.009966666666667, 38.86173333333333 8.965850000000001, 38.9062 8.965850000000001))",True,0,148,0,4.451873873873874,0.0,658.8773333333334
