Time,Charging profile at origin (MW),Number of cars charging at origin,Charging profile at destination (MW),Number of cars charging at destination,Total (MW)
0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0176,3.0,0.0176
0.6000000000000001,0.0,0.0,0.0526,8.0,0.0526
0.7000000000000001,0.0,0.0,0.0636,9.0,0.0636
0.8,0.0,0.0,0.07080000000000002,11.0,0.07080000000000002
0.9,0.0,0.0,0.06380000000000001,10.0,0.06380000000000001
1.0,0.0,0.0,0.06780000000000001,10.0,0.06780000000000001
1.1,0.0,0.0,0.0828,11.0,0.0828
1.2000000000000002,0.0,0.0,0.0934,13.0,0.0934
1.3,0.0,0.0,0.06799999999999999,11.0,0.06799999999999999
1.4000000000000001,0.0,0.0,0.11059999999999999,17.0,0.11059999999999999
1.5,0.0,0.0,0.161,22.0,0.161
1.6,0.0,0.0,0.2438,32.0,0.2438
1.7000000000000002,0.0,0.0,0.27640000000000003,35.0,0.27640000000000003
1.8,0.0,0.0,0.26439999999999997,42.0,0.26439999999999997
1.9000000000000001,0.0,0.0,0.36160000000000014,52.0,0.36160000000000014
2.0,0.0,0.0,0.3814000000000001,60.0,0.3814000000000001
2.1,0.0,0.0,0.46460000000000024,73.0,0.46460000000000024
2.2,0.0,0.0,0.5338000000000004,82.0,0.5338000000000004
2.3000000000000003,0.0,0.0,0.6162000000000005,97.0,0.6162000000000005
2.4000000000000004,0.0,0.0,0.6938000000000007,114.0,0.6938000000000007
2.5,0.0,0.0,0.8970000000000011,146.0,0.8970000000000011
2.6,0.0,0.0,0.9624000000000014,168.0,0.9624000000000014
2.7,0.0,0.0,1.3059999999999996,210.0,1.3059999999999996
2.8000000000000003,0.0,0.0,1.544799999999998,249.0,1.544799999999998
2.9000000000000004,0.0,0.0,1.7087999999999957,277.0,1.7087999999999957
3.0,0.0,0.0,2.0319999999999943,335.0,2.0319999999999943
3.1,0.0,0.0,2.310999999999991,386.0,2.310999999999991
3.2,0.0,0.0,2.759199999999987,464.0,2.759199999999987
3.3000000000000003,0.0,0.0,3.2523999999999833,533.0,3.2523999999999833
3.4000000000000004,0.0,0.0,3.72899999999998,613.0,3.72899999999998
3.5,0.0,0.0,4.19799999999998,704.0,4.19799999999998
3.6,0.0,0.0,4.87,805.0,4.87
3.7,0.0,0.0,5.5062000000000175,903.0,5.5062000000000175
3.8000000000000003,0.0,0.0,6.542600000000044,1056.0,6.542600000000044
3.9000000000000004,0.0,0.0,7.135400000000072,1186.0,7.135400000000072
4.0,0.0,0.0,8.22220000000011,1376.0,8.22220000000011
4.1000000000000005,0.0,0.0,9.71260000000016,1611.0,9.71260000000016
4.2,0.0,0.0,10.736000000000203,1794.0,10.736000000000203
4.3,0.0,0.0,12.189600000000253,2058.0,12.189600000000253
4.4,0.0,0.0,13.720400000000293,2298.0,13.720400000000293
4.5,0.0,0.0,15.675400000000353,2608.0,15.675400000000353
4.6000000000000005,0.0,0.0,17.971800000000147,2966.0,17.971800000000147
4.7,0.0,0.0,19.691399999999952,3326.0,19.691399999999952
4.800000000000001,0.0,0.0,21.516599999999684,3654.0,21.516599999999684
4.9,0.0,0.0,24.538399999999246,4179.0,24.538399999999246
5.0,0.0,0.0,27.389399999998812,4656.0,27.389399999998812
5.1000000000000005,0.0,0.0,30.465799999998435,5162.0,30.465799999998435
5.2,0.0,0.0,34.00739999999802,5775.0,34.00739999999802
5.300000000000001,0.0,0.0,38.33479999999752,6435.0,38.33479999999752
5.4,0.0,0.0,41.97999999999693,7086.0,41.97999999999693
5.5,0.0,0.0,46.03779999999632,7823.0,46.03779999999632
5.6000000000000005,0.0,0.0,50.36919999999564,8647.0,50.36919999999564
5.7,0.0,0.0,55.47799999999494,9473.0,55.47799999999494
5.800000000000001,0.0,0.0,60.786799999994244,10394.0,60.786799999994244
5.9,0.0,0.0,65.09159999999355,11220.0,65.09159999999355
6.0,0.0,0.0,71.46539999999659,12177.0,71.46539999999659
6.1000000000000005,0.0,0.0,77.00219999999985,13207.0,77.00219999999985
6.2,0.0,0.0,84.17540000000346,14397.0,84.17540000000346
6.300000000000001,0.0,0.0,89.89440000000695,15463.0,89.89440000000695
6.4,0.0,0.0,97.15940000001105,16755.0,97.15940000001105
6.5,0.0,0.0,104.73600000001541,18077.0,104.73600000001541
6.6000000000000005,0.0,0.0,112.80000000002045,19444.0,112.80000000002045
6.7,0.0,0.0,120.58980000002492,20850.0,120.58980000002492
6.800000000000001,0.0,0.0,128.52280000002924,22258.0,128.52280000002924
6.9,0.0,0.0,136.55460000003336,23716.0,136.55460000003336
7.0,0.0,0.0,143.92640000003755,25020.0,143.92640000003755
7.1000000000000005,0.0,0.0,152.24640000004268,26458.0,152.24640000004268
7.2,0.0,0.0,160.92100000004822,27994.0,160.92100000004822
7.300000000000001,0.0,0.0,170.32580000005305,29685.0,170.32580000005305
7.4,0.0,0.0,178.7396000000587,31184.0,178.7396000000587
7.5,0.0,0.0,186.24000000006336,32612.0,186.24000000006336
7.6000000000000005,0.0,0.0,195.0504000000689,34103.0,195.0504000000689
7.7,0.0,0.0,203.23320000007377,35628.0,203.23320000007377
7.800000000000001,0.0,0.0,210.6438000000788,37026.0,210.6438000000788
7.9,0.0,0.0,218.52220000008452,38475.0,218.52220000008452
8.0,0.0,0.0,226.76700000008955,40060.0,226.76700000008955
8.1,0.0,0.0,234.16220000009437,41419.0,234.16220000009437
8.200000000000001,0.0,0.0,239.5062000000985,42560.0,239.5062000000985
8.3,0.0,0.0,245.8778000001029,43736.0,245.8778000001029
8.4,0.0,0.0,253.81600000010795,45051.0,253.81600000010795
8.5,0.0,0.0,261.10780000011215,46325.0,261.10780000011215
8.6,0.0,0.0,264.35480000010887,47161.0,264.35480000010887
8.700000000000001,0.0,0.0,268.792800000099,48022.0,268.792800000099
8.8,0.0,0.0,273.99380000008557,49072.0,273.99380000008557
8.9,0.0,0.0,277.9154000000752,49937.0,277.9154000000752
9.0,0.0,0.0,280.0956000000703,50412.0,280.0956000000703
9.1,0.0,0.0,282.61340000006277,50799.0,282.61340000006277
9.200000000000001,0.0,0.0,284.1132000000589,51185.0,284.1132000000589
9.3,0.0,0.0,283.5972000000625,51325.0,283.5972000000625
9.4,0.0,0.0,282.4994000000669,51209.0,282.4994000000669
9.5,0.0,0.0,282.5320000000674,51210.0,282.5320000000674
9.600000000000001,0.0,0.0,280.30700000007425,50885.0,280.30700000007425
9.700000000000001,0.0,0.0,279.814800000076,50706.0,279.814800000076
9.8,0.0,0.0,276.356800000084,50258.0,276.356800000084
9.9,0.0,0.0,274.08660000008894,49903.0,274.08660000008894
10.0,0.0,0.0,271.07960000009587,49284.0,271.07960000009587
10.100000000000001,0.0,0.0,265.5650000001119,48584.0,265.5650000001119
10.200000000000001,0.0,0.0,260.4678000001202,47812.0,260.4678000001202
10.3,0.0,0.0,255.4526000001182,46978.0,255.4526000001182
10.4,0.0,0.0,249.39580000011514,45979.0,249.39580000011514
10.5,0.0,0.0,242.505800000111,44806.0,242.505800000111
10.600000000000001,0.0,0.0,237.32620000010678,43732.0,237.32620000010678
10.700000000000001,0.0,0.0,228.53840000010229,42359.0,228.53840000010229
10.8,0.0,0.0,220.58800000009785,41002.0,220.58800000009785
10.9,0.0,0.0,210.81680000009257,39459.0,210.81680000009257
11.0,0.0,0.0,203.49040000008765,38167.0,203.49040000008765
11.100000000000001,0.0,0.0,195.03540000008235,36709.0,195.03540000008235
11.200000000000001,0.0,0.0,188.08420000007735,35366.0,188.08420000007735
11.3,0.0,0.0,181.3520000000727,33983.0,181.3520000000727
11.4,0.0,0.0,170.85660000006587,32202.0,170.85660000006587
11.5,0.0,0.0,162.49920000006009,30720.0,162.49920000006009
11.600000000000001,0.0,0.0,155.36920000005486,29311.0,155.36920000005486
11.700000000000001,0.0,0.0,146.9704000000484,27672.0,146.9704000000484
11.8,0.0,0.0,138.2214000000418,26127.0,138.2214000000418
11.9,0.0,0.0,129.61020000003649,24601.0,129.61020000003649
12.0,0.0,0.0,122.26640000003175,23160.0,122.26640000003175
12.100000000000001,0.0,0.0,114.45740000002677,21795.0,114.45740000002677
12.200000000000001,0.0,0.0,107.26320000002148,20442.0,107.26320000002148
12.3,0.0,0.0,99.55340000001598,19100.0,99.55340000001598
12.4,0.0,0.0,94.08120000001173,17867.0,94.08120000001173
12.5,0.0,0.0,86.43980000000667,16617.0,86.43980000000667
12.600000000000001,0.0,0.0,79.38480000000189,15348.0,79.38480000000189
12.700000000000001,0.0,0.0,73.64279999999792,14162.0,73.64279999999792
12.8,0.0,0.0,66.94439999999224,12997.0,66.94439999999224
12.9,0.0,0.0,62.051399999992064,11975.0,62.051399999992064
13.0,0.0,0.0,57.31439999999287,11123.0,57.31439999999287
13.100000000000001,0.0,0.0,52.3471999999937,10202.0,52.3471999999937
13.200000000000001,0.0,0.0,47.58939999999448,9371.0,47.58939999999448
13.3,0.0,0.0,43.62179999999524,8590.0,43.62179999999524
13.4,0.0,0.0,38.89299999999601,7807.0,38.89299999999601
13.5,0.0,0.0,35.601599999996594,7132.0,35.601599999996594
13.600000000000001,0.0,0.0,31.949799999997378,6429.0,31.949799999997378
