id,geometric_center,bbox,population,destinations,is_within_target_area,n_outflows,n_inflows,pkm_outflows,pkm_inflows,km_per_capita_outflows,km_per_capita_inflows
0_0,"(38.661633333333334, 8.855558333333336)","POLYGON ((38.68386666666667 8.833500000000003, 38.68386666666667 8.877616666666668, 38.6394 8.877616666666668, 38.6394 8.833500000000003, 38.68386666666667 8.833500000000003))",2155.9214,0,False,21.0,0.0,466.6369552589909,0.0,22.22080739328528,0.0
0_1,"(38.7061, 8.855558333333336)","POLYGON ((38.68386666666667 8.877616666666668, 38.68386666666667 8.921733333333334, 38.6394 8.921733333333334, 38.6394 8.877616666666668, 38.68386666666667 8.877616666666668))",35318.562,0,False,353.0,0.0,6160.474232646346,0.0,17.45176836443724,0.0
0_2,"(38.750566666666664, 8.855558333333336)","POLYGON ((38.68386666666667 8.921733333333336, 38.68386666666667 8.965850000000001, 38.6394 8.965850000000001, 38.6394 8.921733333333336, 38.68386666666667 8.921733333333336))",152492.77,6,False,1523.9999999999998,175.53799060441708,21877.95805483791,2079.6420403354705,14.355615521547186,11.847247613891396
0_3,"(38.795033333333336, 8.855558333333336)","POLYGON ((38.68386666666667 8.965850000000001, 38.68386666666667 9.009966666666667, 38.6394 9.009966666666667, 38.6394 8.965850000000001, 38.68386666666667 8.965850000000001))",213180.6,12,True,2131.0,450.6960081490628,27806.92183256647,5054.801914354247,13.048766697591024,11.215546228406856
0_4,"(38.8395, 8.855558333333336)","POLYGON ((38.68386666666667 9.009966666666667, 38.68386666666667 9.054083333333333, 38.6394 9.054083333333333, 38.6394 9.009966666666667, 38.68386666666667 9.009966666666667))",69972.914,0,False,698.9999999999999,0.0,8806.136648491527,0.0,12.59819263017386,0.0
0_5,"(38.883966666666666, 8.855558333333336)","POLYGON ((38.68386666666667 9.054083333333335, 38.68386666666667 9.0982, 38.6394 9.0982, 38.6394 9.054083333333335, 38.68386666666667 9.054083333333335))",52453.668,3,False,524.0000000000001,80.87193280274293,7931.300662857672,961.1871376439922,15.13606996728563,11.885299439899025
1_0,"(38.661633333333334, 8.899675000000002)","POLYGON ((38.72833333333333 8.833500000000003, 38.72833333333333 8.877616666666668, 38.68386666666667 8.877616666666668, 38.68386666666667 8.833500000000003, 38.72833333333333 8.833500000000003))",870.1038,0,False,7.999999999999998,0.0,144.18999417820876,0.0,18.0237492722761,0.0
1_1,"(38.7061, 8.899675000000002)","POLYGON ((38.72833333333333 8.877616666666668, 38.72833333333333 8.921733333333334, 38.68386666666667 8.921733333333334, 38.68386666666667 8.877616666666668, 38.72833333333333 8.877616666666668))",8342.08,0,False,82.99999999999996,0.0,1117.2020287829048,0.0,13.460265407022955,0.0
1_2,"(38.750566666666664, 8.899675000000002)","POLYGON ((38.72833333333333 8.921733333333336, 38.72833333333333 8.965850000000001, 38.68386666666667 8.965850000000001, 38.68386666666667 8.921733333333336, 38.72833333333333 8.921733333333336))",174998.9,25,True,1748.9999999999989,1112.9973398430675,19596.826561859878,11643.172304662872,11.204589229193763,10.461096255903502
1_3,"(38.795033333333336, 8.899675000000002)","POLYGON ((38.72833333333333 8.965850000000001, 38.72833333333333 9.009966666666667, 38.68386666666667 9.009966666666667, 38.68386666666667 8.965850000000001, 38.72833333333333 8.965850000000001))",401431.06,40,True,4013.999999999999,2264.3353209540737,37547.19603550934,21927.758133557872,9.354059799578812,9.683971243410472
1_4,"(38.8395, 8.899675000000002)","POLYGON ((38.72833333333333 9.009966666666667, 38.72833333333333 9.054083333333333, 38.68386666666667 9.054083333333333, 38.68386666666667 9.009966666666667, 38.72833333333333 9.009966666666667))",702791.1,54,True,7026.999999999999,2847.82063572482,64183.27417272009,26597.756161125206,9.133808762305408,9.339687980158066
1_5,"(38.883966666666666, 8.899675000000002)","POLYGON ((38.72833333333333 9.054083333333335, 38.72833333333333 9.0982, 38.68386666666667 9.0982, 38.68386666666667 9.054083333333335, 38.72833333333333 9.054083333333335))",198938.5,16,False,1989.0000000000005,626.7812514489386,23967.462138616967,6312.734104962421,12.05000610287429,10.071670284280502
2_0,"(38.661633333333334, 8.943791666666668)","POLYGON ((38.7728 8.833500000000003, 38.7728 8.877616666666668, 38.72833333333333 8.877616666666668, 38.72833333333333 8.833500000000003, 38.7728 8.833500000000003))",8237.187,0,False,82.0,0.0,1184.0494940513008,0.0,14.439627976235377,0.0
2_1,"(38.7061, 8.943791666666668)","POLYGON ((38.7728 8.877616666666668, 38.7728 8.921733333333334, 38.72833333333333 8.921733333333334, 38.72833333333333 8.877616666666668, 38.7728 8.877616666666668))",116701.78,31,True,1167.0000000000002,912.3878694093265,15389.355153509974,10917.683653606371,13.187108100694063,11.966055248711715
2_2,"(38.750566666666664, 8.943791666666668)","POLYGON ((38.7728 8.921733333333336, 38.7728 8.965850000000001, 38.72833333333333 8.965850000000001, 38.72833333333333 8.921733333333336, 38.7728 8.921733333333336))",287293.56,81,True,2872.0000000000005,3321.343534777871,30254.79376535388,38221.96479847491,10.534398943368341,11.50798295877911
2_3,"(38.795033333333336, 8.943791666666668)","POLYGON ((38.7728 8.965850000000001, 38.7728 9.009966666666667, 38.72833333333333 9.009966666666667, 38.72833333333333 8.965850000000001, 38.7728 8.965850000000001))",561600.06,200,True,5616.000000000001,10979.627999907365,46957.68303085907,112049.61206468349,8.36141079609314,10.205228452697018
